Baby Girl Names Registered in 1995,
1,Caileigh
2,Cailey
3,Cailin
3,Cailyn
1,Cailynn
2,Caitlan
2,Caitland
41,Caitlin
1,Caitlind
25,Caitlyn
4,Caitlynn
1,Caitlynne
3,Caleigh
2,Caley
3,Cali
1,Calida
1,Calille
1,Calista
2,Calli
1,Callie
1,Callum
1,Calsey
1,Calvina
1,Cambria
1,Cameron
1,Cami
1,Camila
2,Camilla
10,Camille
1,Cammi
1,Canacee
15,Candace
9,Candice
1,Candy
1,Cansu
1,Car
11,Cara
1,Cara-Leigh
1,Caraline
1,Caralyn
1,Carika-Jade
1,Carin
4,Carina
1,Carinne
1,Cariss
4,Carissa
3,Carla
#,Baby Girl Names
9,Carlee
6,Carleen
1,Carleigh
2,Carlena
7,Carlene
6,Carley
7,Carlie
1,Carlin
4,Carling
1,Carlisha
1,Carlita
46,Carly
1,Carlye
1,Carlynn
1,Carmanah
14,Carmen
7,Carol
1,Carolann
1,Carolee
2,Carolina
11,Caroline
13,Carolyn
1,Carrera
13,Carrie
1,Carrie-Lynn
1,Carrie-Lynne
1,Carrissa
1,Carter
5,Casandra
13,Casey
1,Casey-Ann
1,Casie
93,Cassandra
1,Cassandra-Viola
2,Cassaundra
3,Cassia
1,Cassidi-Rae
63,Cassidy
1,Cassidy-Rae
7,Cassie
2,Cassondra
1,Cassy
1,Catalina
1,Cate
1,Catelyn
1,Catharine
43,Catherine
1,Cathleen
1,Cathline
1,Cathlyn
1,Cathrine
#,Baby Girl Names
3,Cathryn
1,Catrin
3,Catrina
1,Cattileona
1,Cayden
5,Cayla
1,Caylea
1,Cayleen
1,Cayleigh
3,Caylen
3,Cayley
2,Cayli
4,Caylie
2,Caylin
1,Caytlyn
1,Ceanna
1,Cearra
1,Cecelia
3,Cecile
6,Cecilia
2,Cecily
1,Ceduna
1,Cee
1,Celby
8,Celeste
2,Celia
1,Celie
13,Celina
1,Celinda
16,Celine
1,Celleste
1,Cellina
1,Ceres
1,Cersten
1,Cesilia
1,Cezanne
1,Chad
1,Chaelee
1,Chais
1,Chanaya
1,Chanda
1,Chandel
1,Chandelle
2,Chandler
1,Chandni
2,Chandra
1,Chandrea
1,Chanece
6,Chanel
2,Chanell
11,Chanelle
#,Baby Girl Names
1,Chanice
1,Channal
1,Chansler
24,Chantal
2,Chantalle
1,Chantana
1,Chante
24,Chantel
1,Chantele
4,Chantell
27,Chantelle
1,Chantika
1,Chantrice
1,Chanya
1,Chanz
1,Charadee
1,Chardae
1,Charice
2,Charis
7,Charissa
1,Charity
1,Charla
1,Charlee
1,Char-Lee
1,Charlee-Jean
7,Charlene
2,Charli
5,Charlie
1,Charlie-Ann
12,Charlotte
1,Charly
4,Charmaine
1,Charmeine
1,Charnelle
1,Chasidy
1,Chasta
1,Chastine
1,Chate-Lane
1,Chatrene
1,Chauntel
1,Chayla
1,Chayna
1,Chelcie
105,Chelsea
1,Chelsea-Ann
1,Chelsei
35,Chelsey
1,Chelsey-Jade
2,Chelsi
1,Chelsia
3,Chelsie
#,Baby Girl Names
1,Chelsie-Anne
1,Chelsy
1,Chelzee
1,Chenel
1,Chenelle
1,Chennine
1,Chenyse
1,Cherehan
1,Cheridene
1,Cherie
1,Cheriee
1,Cherielynne
1,Cherilynn
1,Cherise
2,Cherish
2,Cherisse
1,Cherith
1,Cherlaine
1,Cherlynn
1,Cherokee
1,Cherrie
1,Cherron
2,Cherry
6,Cheryl
1,Chessa
1,Chessney
1,Cheuk-Yin
1,Chevie-Lee
2,Cheyalla
2,Cheyanna
18,Cheyanne
1,Chey-Anne
2,Cheyenna
36,Cheyenne
1,Cheyna
1,Cheynee
1,Chiana
1,Chi-Anna
1,Chiara
1,Chieko
1,Chiemeka
1,Chimene
1,Chinara
1,Chinook
30,Chloe
1,Cho
1,Chontia
1,Chris
1,Chrisleen
1,Chrissa
1,Chrissie
#,Baby Girl Names
5,Christa
1,Christa-Dale
3,Christel
1,Christena
1,Christian
2,Christianne
8,Christie
1,Christin
57,Christina
47,Christine
4,Christy
1,Chrystal
1,Chuen-Xi
1,Chyanne
1,Chyeana
1,Chyla
1,Chyranda
2,Cianna
4,Ciara
1,Ciarisse
1,Ciarrah
1,Ciena
1,Cienna
2,Ciera
1,Cieran
4,Cierra
1,Ciham
1,Cimantha
10,Cindy
1,Cinnamon
1,Cinzia
1,Clae
2,Clair
29,Claire
1,Claireece
7,Clara
2,Clare
2,Clarice
1,Clarine
1,Clarisa
5,Clarissa
1,Clarrissa
12,Claudia
1,Cloe
1,Clotilde
1,Cobi
2,Codi
1,Colbee
1,Colbi
2,Colby
1,Colene
#,Baby Girl Names
1,Colette
8,Colleen
1,Collette
1,Colton
2,Connar
6,Connie
1,Contessa
1,Cooper
7,Cora
3,Coral
1,Coralee
1,Coralie
1,Coralynn
1,Corelle
1,Cori
1,Corin
2,Corina
1,Corinna
1,Corisa
3,Corissa
1,Cornelia
1,Corrie
3,Corrina
2,Corrine
1,Corrinna
1,Cortnee
3,Cortney
2,Courtenay
6,Courteney
1,Courtnee
185,Courtney
1,Courtney-Jeanne
1,Courtney-Lynn
1,Courtny
1,Cree
1,Cristiane
9,Cristina
1,Cristy
1,Cristyn
29,Crystal
1,Crystal-Ann
1,Crystal-Lisa
1,Crystani
1,Crysty
1,Curtis
1,Cyanna
1,Cybil
1,Cybill
2,Cydney
1,Cylenna
14,Cynthia
#,Baby Girl Names
1,Cypress
1,Dacey
1,Daelyn
1,Dahliah
1,Daina
1,Dainna
1,Dairian
1,Dairyan
5,Daisy
1,Dakoda
1,Dakohta
36,Dakota
2,Dakotah
1,Dakota-Leigh
1,Dakota-Rae
1,Dakotta
1,Dalal
2,Dale
1,DaLeaka
1,Dale-Lee
1,Dalia
1,Dalila
1,Dalilah
3,Dallas
2,Dalyce
1,Dalyn
1,Daman
1,Damaris
24,Dana
6,Danae
1,Danaya
1,Daneen
2,Danelle
2,Dani
2,Dania
13,Danica
1,Daniel
4,Daniela
4,Daniella
119,Danielle
1,Danielle-Rae
17,Danika
1,Danise
1,Danisha
1,Danita
1,Danna
2,Danni
1,Dannica
2,Dannie
2,Dannielle
1,Dannika
#,Baby Girl Names
1,Dante
1,Danyael
2,Daphne
2,Dara
1,Daragh
1,Daralyn
2,Darbi
16,Darby
2,Darci
2,Darcie
1,Darcieda
3,Darcy
1,D'Arcy
1,Daria
18,Darian
1,Darianna
1,Darine
1,Dariyn
4,Darla
1,Darla-Mae
1,Darlee
2,Darlene
1,Darlynne
2,Darrian
1,Darrianne
1,Daryn
1,Davida
1,Davina
1,Davon-Rae
6,Dawn
1,Dayel
1,Daykota
2,Daylan
3,Dayle
1,Daylene
1,Daylynn
14,Dayna
1,Dayne
1,Dayton
1,Deah
1,Dealla
1,Deana
20,Deanna
1,Deanna-Lee
2,Debbie
1,Debora
5,Deborah
2,Debra
1,Deciah
1,Deeanna
1,Dee-Anne
#,Baby Girl Names
1,Deena
1,Deep
1,Deepika
1,Deidra
2,Deidre
1,Deirdra
1,Delaina
1,Delaine
1,Delainey
1,Delainie
1,Delainy
1,Delan
2,Delane
12,Delaney
1,Delani
2,Delanie
2,Delete
2,Deleted
1,Delia
3,Delilah
1,Delrey
1,Delyth
1,Demarra
3,Demi
1,Demicia
1,Demi-Lee
1,Demi-Marie
1,Denae
1,Denasia
1,Denay
1,Denaya
1,Denelle
1,Denene
1,Denice
4,Denise
1,Denise-Susan
1,Denisha
1,Denita
1,Derya
2,Deryn
1,Desaree
1,Deserai
1,Deseree
1,Deshaunda
11,Desirae
21,Desiree
1,Despina
1,Destanee
1,Destani
1,Destanie
1,Destfny
#,Baby Girl Names
1,Destina
2,Destiney
36,Destiny
1,Destiny-Dawn
1,Destiny-Lee
1,Devanee
1,Devi
1,Devienne
3,Devin
1,Devina
1,Devinder
1,Devneet
24,Devon
1,Devonay
1,Devone
2,Devonie
7,Devyn
2,Devynn
1,Deza
1,Dezarae
1,Dezaray
1,Dezray
1,Dhaniya
10,Diana
1,Diandra
6,Diane
1,Diann
1,Dianna
4,Dianne
1,Diedra
1,Diem
2,Diep
1,Diltaj
1,Dina
1,Dinah
1,Diobel
1,Diva
2,Divya
1,Dixie
1,Domanique
1,Dominica
15,Dominique
2,Dominque
2,Domonique
4,Donna
1,Donnel
1,Dora
1,Doreen
1,Dorica
1,Dorina-Dale
1,Doris
#,Baby Girl Names
1,Dorissa
1,Dorotea
6,Dorothy
1,Dorrie
1,Drae-Anna
1,Drakmar
1,Draven
4,Drew
2,Drewe
1,Dristan
1,Dujana
1,Dunia
1,Dylan
1,Dylana
1,Dyllan
1,Earlane
1,Early
1,Ebbeney
3,Ebony
2,Echo
1,Edan
1,Eddyrae
4,Eden
2,Edith
1,Edna
2,Edwina
1,Effie
1,Eila
1,Eiley
1,Eilidh
1,Eiro
1,Ekta
1,Elaina
6,Elaine
1,Elan
1,Elandra
1,Elane
1,Elanta
2,Eleanor
4,Elena
1,Eleri
1,Elexaray
1,Eliana
3,Elicia
1,Elida
1,Eliese
1,Elin
2,Elisa
1,Elisabet
3,Elisabeth
13,Elise
#,Baby Girl Names
4,Elisha
1,Elisha-Melissa
1,Elisheva
3,Elissa
1,Elita
6,Eliza
76,Elizabeth
1,Elizabeth-Ann
1,Elizebeth
4,Ella
1,Ellana
1,Elle
16,Ellen
1,Elli
1,Ellian
2,Ellie
1,Ellyn
1,Ellysa
1,Ellyssa
1,Elma
1,Elony
1,Elora
1,Elselijn
3,Elsie
1,Elysa
6,Elyse
3,Elysha
3,Elyssa
2,Eman
2,Ember
1,Emelia-Eden
1,Emely
2,Emerald
1,Emi
4,Emilee
1,Emilene
2,Emilia
19,Emilie
1,Emilie-Justine
240,Emily
1,Emilyann
1,Emily-Elizabeth
1,Emily-Kay
1,Emily-Rose
74,Emma
1,Emma-Lee
1,Emma-Leigh
1,Emmaline
1,Emmanuelle
1,Engelica
1,Enja
#,Baby Girl Names
29,Erica
2,Ericka
27,Erika
108,Erin
2,Erinn
1,Erinne
1,Erith
1,Errika
3,Eryn
1,Erynn
1,Eskye
1,Esperanza
1,Essmaa
1,Estelle
8,Esther
1,Eugenia
10,Eva
1,Evalina
1,Evan
1,Evangelene
5,Evangeline
2,Eve
9,Evelyn
1,Ewelina
1,Eyana
13,Faith
1,Faiza
1,Falanne
1,Falin
4,Fallon
2,Falon
1,Fara
1,Faraci
1,Farah
1,Farhana
1,Farniz
3,Farrah
1,Farron
1,Farzanah
1,Fathima
5,Fatima
2,Faustina
1,Fauve
1,Fauzia
1,Fawn
1,Fay
1,Felecia
15,Felicia
3,Felicity
1,Fernanda
1,Ffion
#,Baby Girl Names
6,Fiona
1,Fionna
1,Flora
1,Florence
1,Florette
1,Foroozan
4,Frances
5,Francesca
1,Francia
1,Franki
2,Freedom
1,Frieda
2,Gabriel
3,Gabriela
7,Gabriella
38,Gabrielle
3,Gagan
1,Gaganjeet
1,Gaia
1,Gail
1,Gale
1,Garcia
1,Garnet
1,Gaylene
4,Geena
1,Geet
1,Gehan
1,Gelisa
1,Gemma
1,Gemmy
1,Gene
1,Geneca
1,Genessa
5,Geneva
1,Genevie
9,Genevieve
1,Genie
3,Georgette
3,Georgia
1,Georgie
3,Georgina
2,Geraldine
1,Geri
1,Germain
1,Germaine
1,Gerrilee
1,Gertruda
1,Getruda
1,Ghada
1,Gia
10,Gillian
#,Baby Girl Names
8,Gina
1,Gineen
1,Ginnean
1,Giorgia
1,Giovanna
2,Giselle
1,Gladys
7,Gloria
1,Goldamare
1,Goldie
1,Gopi
1,Gopika
20,Grace
1,Gracie
1,Grayson
1,Grazia
1,Greer
1,Gunneet
1,Guntash
2,Gurkiran
2,Gurleen
1,Gurmail
1,Gurneet
1,Gurpreet
1,Gursharan
1,Gursharn
1,Gursharon
1,Gwenna
1,Hadassa
2,Hadassah
1,Hadel
1,Hadia
1,Hadley
1,Haeleigh
1,Haely
1,Hailea
4,Hailee
57,Hailey
2,Hailie
1,Hajar
1,Hajra
3,Halee
1,Haleema
6,Haleigh
58,Haley
1,Hali
4,Halie
1,Haliegh
3,Halle
2,Halley
1,Hallie
#,Baby Girl Names
1,Hamdi
1,Hamrin
1,Han
1,Hana
4,Hanan
16,Hanna
118,Hannah
1,Hannah-Mae
1,Hannah-Marie
1,Hannah-Rae
1,Hanna-Leah
1,Hanny
1,Harjoot
1,Harjot
1,Harkiran
3,Harleen
5,Harley
3,Harman
1,Harmeet
2,Harmony
1,Harper
3,Harpreet
1,Harsimran
1,Harveen
1,Harvinder
1,Hasanna
1,Hassana
1,Haven
1,Hayle
2,Haylea
11,Haylee
1,Hayleigh
43,Hayley
1,Hayli
1,Haylie
1,Haylyn
1,Hazel
55,Heather
1,Heaven
2,Heba
1,Hebah
1,Hedwa
12,Heidi
1,Heidy
9,Helen
10,Helena
1,Helene
1,Hena
1,Henie
1,Herchran
1,Herjoat
#,Baby Girl Names
1,Herkiran
1,Hesther
1,Hiba
4,Hilary
1,Hilary-Ann
1,Hilary-Anne
1,Hiliary
5,Hillary
1,Hina
1,Hind
1,Hira
1,Hoi
1,Hollie
30,Holly
1,Honar
1,Honnor
21,Hope
1,Hope-Shelia
1,Hosack
1,Hosna
1,Houda
1,Hua
1,Huisun
6,Hunter
1,Hunter-Lee
1,Huyana
1,Hy
5,Ida
1,Ieasha
1,Iescha
1,Iesha
1,Ifrah
1,Ilana
1,Ileaha
1,Ileana
1,Illie
1,Ilona
1,Ilysha
3,Iman
1,Ina
1,Inanna
1,Inara
1,Inderdeep
1,Inderveer
1,India
1,Indiana
3,Ingrid
1,Iqra
6,Irene
2,Iris
1,Isa
#,Baby Girl Names
4,Isabel
1,Isabell
17,Isabella
1,Isabella-Gabriela
17,Isabelle
1,Isadora
1,Isaura
1,Iseabel
1,Ishe
1,Isis
1,Isley
3,Israa
1,Ivana
1,Ivaney
1,Ivanna
7,Ivy
1,Iyah
1,Iylish
1,Izabel
1,Izabela
1,Izzah
1,Jaala
1,Jacalyn
1,Jacelyn
3,Jacey
2,Jacie
3,Jacinda
1,Jacinthe
1,Jackelyn
3,Jackie
1,Jackilyne
4,Jacklyn
13,Jaclyn
1,Jacolyn
30,Jacqueline
14,Jacquelyn
1,Jacquelynn
4,Jacy
1,Jacynthe
2,Jada
1,Jadda
37,Jade
1,Jade-Alexandra
1,Jade-Ann
1,Jade-Marie
3,Jaden
1,Jadeyn
1,Jadin
2,Jadine
1,Jadyn
1,Jadzia
#,Baby Girl Names
1,Jaedine
1,Jaedyn
1,Jaela
1,Jaelei
1,Jaelene
1,Jaelyn
1,Jaelynn
1,Jagjot
1,Jahlayna
2,Jai
1,Jaida
2,Jaide
2,Jaiden
2,Jaidyn
1,Jai-el
1,Jai-Lene
11,Jaime
2,Jaimee
1,Jaimee-Lynn
1,Jaime-Lynn
2,Jaimi
3,Jaimie
1,Jaina-Brooke
1,Jakelynne
1,Jalaney
1,Jaleesa
1,Jalisa
1,Jamal
1,Jamecia
1,Jameica
1,Jamela
1,Jameliah
1,Jamey
4,Jami
55,Jamie
1,Jamie-Jean
1,Jamie-Lynn
1,Jamile
1,Jan
4,Jana
6,Janae
1,Janais
1,Janakee
1,Janan
1,Janavi
2,Janay
3,Janaya
2,Janaye
9,Jane
1,Janeen
1,Janeese
#,Baby Girl Names
2,Janel
2,Janell
31,Janelle
8,Janessa
1,Janessa-Lee
10,Janet
3,Janette
1,Jani
3,Janice
1,Janie
1,Janik
16,Janine
1,Jan-Kirstyn
3,Janna
1,Jannah
1,J-Anne
2,Jannell
1,Jannelle
1,Jannesa
1,Janssy
1,Jaqueline
1,Jaquina
1,Jara
2,Jaralyn
1,Jareda
1,Jarilee
1,Jarrica
1,Jaryah
1,Jasdeep
1,Jasdip
1,Jasey
1,Jasinta
1,Jaskomal
2,Jasleen
1,Jaslin
1,Jaslynne
2,Jasmeen
9,Jasmin
2,Jasmina
44,Jasmine
1,Jasmyn
2,Jasmyne
1,Jasna
2,Jasneet
1,Jaspinder
5,Jaspreet
1,Jassa
1,Jassleen
1,Jassmin
1,Jassminn
1,Jastindeep
#,Baby Girl Names
1,Jaya
1,Jayanna
1,Jayanti
1,Jayce
3,Jaycee
4,Jaycie
4,Jayda
1,Jayda-Lane
2,Jayde
1,Jaydee
6,Jayden
1,Jaydene
1,Jaydn
1,Jaye
2,Jayleen
8,Jaylene
1,Jaylisa
1,Jaylynn
9,Jayme
1,Jaymee
1,Jaymi
1,Jaymie
1,Jaymie-Lynn
4,Jayna
2,Jayne
1,Jayni
1,Jaynie
1,Jayseena
2,Jazlyn
1,Jazmin
4,Jazmine
1,Jazmyn
1,Jazmyne
1,Jazna
1,Jazzlyn
1,Jazzmine
1,Jazzmyne
2,Jean
1,Jeanelle
1,Jeanette
1,Jeanie
3,Jeanine
1,Jeannette
1,Jeannie
4,Jeannine
1,Jehan
1,Jelani
1,Jelena
1,Jeliane
1,Jelisa
2,Jelise
#,Baby Girl Names
7,Jena
2,Jenae
1,Jenai
2,Jenan
1,Jenavie
3,Jenaya
1,Jenel
1,Jenela
2,Jenell
9,Jenelle
5,Jenessa
1,Jenevieve
1,Jeneya
1,Jenhene
4,Jenica
3,Jenifer
1,Jenilyn
1,Jenise
87,Jenna
1,Jenna-Lane
1,Jenna-Lee
1,Jennaya
1,Jennaye
1,Jennea
2,Jennelle
1,Jennessa
1,Jennez
2,Jennica
4,Jennie
1,Jennie-Mae
132,Jennifer
1,Jennifer-Lee
1,Jennifer-Lyn
1,Jennine
16,Jenny
1,Jensyn
1,Jeralyn
2,Jerica
1,Jerika
4,Jerrica
1,Jesalyn
1,Jesica
1,Jeskiret
4,Jessa
4,Jessalyn
2,Jessamy
1,Jessamyn
14,Jesse
1,Jessi
312,Jessica
1,Jessica-Faye
#,Baby Girl Names
1,Jessica-Jasmine
1,Jessica-Jean
28,Jessie
1,Jessie-Jeanne
4,Jessika
1,Jessi-Mae
3,Jessy
1,Jessyka
1,Je-Taime
1,Jewell
1,Jewels
1,Jezebel
1,Jhesica
1,Jiat-Wen
1,Jicelle
1,Jihan
7,Jill
1,Jilleen
22,Jillian
1,Jillise
1,Jimeva
1,Jinglin
1,Jinnifer
1,J'Nai
2,Joann
9,Joanna
12,Joanne
1,Joannie
13,Jocelyn
2,Jocelyne
2,Jocelynn
1,Joclyn
1,Jodanna
15,Jodi
1,Jodianne
