Baby Girl Names Registered in 2001                       A,
GOVERNMENT  SERVICES,
#,Girl  Names 
1,Reighna
1,Reign
1,Reiley
3,Reilly
1,Reina
1,Reiss
1,Reka
1,Relena
1,Remee
2,Rena
1,Rèna
3,Renae
2,Renata
1,Renatha
3,Rene
1,René
4,Renee
1,Reneè
3,Renée
1,Renell
1,Renna
1,Rennei
1,Reshma
1,Retaj
2,Reva
2,Reyna
1,Rhayna
1,Rheagan
1,Rhean
1,Rheana
6,Rheanna
1,Rheanne
1,Rheya
2,Rhiana
3,Rhianna
#,Girl  Names 
8,Rhiannon
2,Rhoda
1,Rhyan
1,Rhyanna
1,Rhyanne
1,Rhylee
2,Rhys
1,Rhyse
2,Ria
2,Rian
1,Riana
6,Rianna
1,Rianne
1,Rica
5,Richelle
1,Rickal
1,Rickaya
1,Ricky
2,Rida
1,Ridha
1,Rielle
1,Rienne
1,Riesa
1,Rikki
1,Rileigh
21,Riley
1,Rilla
1,Rina
1,Ripley
1,Risa
1,Rishpreet
5,Rita
1,Ritika
1,River
1,Rivers
1,Riyana
1,Roachel
1,Roanna
1,Roanne
8,Robin
15,Robyn
3,Rochelle
1,Rockia
1,Roehm
1,Roe-Lene
1,Roheen
1,Roisin
1,Róisín
1,Roja
1,Rolanna
2,Roma
1,Rona
1,Roopali
2,Rori
#,Girl  Names 
1,Rorie
4,Rosa
1,Rosalee
1,Rosalyn
1,Rosanne
3,Rose
1,Rosea
1,Roseann
1,Roseanne
1,Roselyn
1,Roselynn
1,Rosemarie
3,Rosemary
1,Rosie
1,Rouhee
4,Rowan
1,Roweena
1,Rowen
1,Roxana
1,Roxane
2,Roxanna
4,Roxanne
1,Roxie
1,Rozeen
1,Rozelyn
6,Ruby
1,Ruman
1,Rumor
1,Rupinder
1,Rusana
1,Rushda
3,Ruth
1,Ruyee
1,Rya
2,Ryan
1,Ryana
1,Ryane
3,Ryann
4,Ryanne
1,Ryatt
1,Ryen
19,Rylee
4,Ryleigh
3,Ryley
3,Rylie
1,Rynell
1,Saada
1,Saara
1,Saba
1,Sabah
1,Sabian
3,Sabina
1,Sabine
20,Sabrina
#,Girl  Names 
1,Sabrine
1,Sabryna
1,Sade
1,Sadia
1,Sadic
22,Sadie
1,Sadie-Ann
1,Sadye
2,Safa
1,Safaa
1,Saffron
1,Safira
2,Safiya
1,Safïya
1,Safura
13,Sage
3,Sahar
2,Sahara
1,Saheba
1,Sahejdeep
1,Sahrah
1,Saida
3,Saige
1,Saila
1,Sajeda
1,Sakura
1,Salado
1,Salem
1,Salena
1,Salina
1,Salinger
1,Sally
1,Salma
1,Salmah
2,Salome
1,Sam
1,Samah
153,Samantha
6,Samara
1,Samarah
1,Samatha
1,Sameeah
1,Sameena
1,Sami
2,Samia
3,Samira
1,Sammy
2,Sana
1,Sanaa
1,Sanae
1,Sanah
1,Sanam
1,Sandelle
4,Sandra
#,Girl  Names 
1,Sandria
5,Sandy
1,Sanieca
1,Saniyya
1,Sanne
1,Sanrio
2,Santana
1,Santanna
1,Saorsa
78,Sara
1,Sara-ann
1,Sara-Beth
232,Sarah
1,Sarah-Anne
1,Sarah-Elisabeth
1,Sarah-Jane
1,Sarah-Rose
1,Sara-Lynn
1,Saraphine
1,Saren
1,Sarika
1,Sariketh
3,Sarina
1,Sarra
2,Sarrah
1,Sarwa
1,Sarya
1,Sascha
11,Sasha
1,Saskia
1,Sassha
2,Sativa
1,Sativah
1,Satori
1,Sausan
1,Savaigha
2,Savana
3,Savanah
17,Savanna
46,Savannah
1,Savannah-Frances
1,Savannah-Lyn
1,Saveena
2,Savera
1,Savonna
1,Sawvonah
1,Sawyer
2,Saxon
1,Saydie
1,Sayler
2,Scarlet
2,Scarlett
1,Scottlyn
1,Se
#,Girl  Names 
1,Seabring
1,Seaira
1,Sean
5,Seanna
1,Seantae
1,Searra
1,Sedona
1,Seema
1,Seija
2,Seirra
1,Sekwan
1,Sela
1,Selam
27,Selena
1,Selene
4,Selina
1,Sena
1,Senait
1,Seonae
1,Sepanta
1,Sephiriah
1,Sequoia
1,Seraphina
1,Seren
13,Serena
1,Serena-Joy
1,Serene
5,Serenity
1,Seriena
2,Serina
1,Serinda
1,Serra
1,Serrina
1,Seryna
1,Sesequon
1,Setareh
1,Sethia
1,Sevannah
1,Séverine
1,Seyda
1,Shaawni
1,Shabnam
1,Shabrina
1,Shadi
3,Shae
3,Shaela
1,Shaelea
1,Shaelee
11,Shaelyn
1,Shae-Lyn
6,Shaelynn
3,Shae-Lynn
1,Shaelynne
1,Shaena
#,Girl  Names 
1,Shaeyn
1,Shagoon
1,Shahana
1,Shahd
1,Shaheda
1,Shai
1,Shaida
1,Shail
1,Shailyn
2,Shailynn
1,Shaimaa
1,Shaina
1,Shaina-Emmanuelle
1,Shaira
1,Shakera
1,Shakia-Lee
1,Shakira
1,Shalah
2,Shalayna
1,Shalayne
1,Shaleece
1,Shaley
1,Shali
1,Shalisa
1,Shalise
2,Shallon
1,Shalyn
2,Shalynn
1,Shama
1,Shamaeya
1,Shamama
2,Shana
2,Shanae
1,Shanay
1,Shanaye
1,Shandaya
1,Shandi
1,Shandon
1,Shandra
1,Shanea
1,Shaneda
1,Shaneika
3,Shanelle
1,Shanelle-Adeline
1,Shanette
2,Shania
1,Shanice
1,Shaniece
1,Shaniequa
1,Shanika
1,Shanita
1,Shanna
1,Shannan
1,Shannaya
#,Girl  Names 
1,Shannelle
1,Shannese
13,Shannon
1,Shannyn
1,Shanoah
1,Shanoja
1,Shantae
2,Shantai
1,Shantal
1,Shantel
1,Shantelle
1,Shantina
1,Sharanya
1,Sharaya
1,Sharelle
1,Sharina
1,Sharla
1,Sharlene
1,Sharlet
1,Sharlimay
1,Sharlyne
1,Sharmayne
1,Sharnae
1,Sharnpreet
6,Sharon
1,Sharukaa
1,Shasey
1,Shaughnessy
1,Shaun
2,Shauna
1,Shauntaya
1,Shaunteya
1,Shavana
1,Shavonne
2,Shawna
2,Shawnee
1,Shawnell
1,Shawn-Rae
1,Shawntay
1,Shawntayia
1,Shaya
1,Shayal
1,Shayana
1,Shay-Ann
1,Shayanne
1,Shaydah
5,Shaye
1,Shayelyn
27,Shayla
4,Shaylee
1,Shayleen
2,Shaylen
5,Shaylene
1,Shayley
#,Girl  Names 
2,Shaylin
7,Shaylyn
7,Shaylynn
11,Shayna
2,Shayne
1,Shaynessa
1,Shaza
1,Shazelle
5,Shea
1,Shedaisy
6,Sheena
1,Sheila
1,Shekinah
1,Shelbe
1,Shelbi
1,Shelbie
57,Shelby
1,Shelby-Lee
1,Shelby-Lynn
1,Shelee
1,Shelisha
1,Shellane
1,Shelley
1,Shelly
1,Shemiyah
1,Shenae
1,Shenai
1,Shenaya
1,Sheneen
1,Shera
1,Sheree
1,Sherene
1,Sherice
4,Sheridan
1,Sherina
1,Sherlene
1,Sherrissa
3,Sherry
1,Shervonne
1,Sheryl-Lynn
1,Sheshan
1,Shevonne
1,Shiann
5,Shianne
1,Shickelle
1,Shiella-Mae
1,Shieon
1,Shikyla
1,Shiloh
1,Shilynne
1,Shina
1,Shinara
1,Shinelle
2,Shira
#,Girl  Names 
1,Shirley
1,Shivan
1,Shivangi
1,Shivani
1,Shivon
1,Shiza
1,Shona
1,Shondra
1,Shontaya
1,Shoshana
1,Shraiya
1,Shriya
1,Shukri
5,Shyanne
2,Shye
1,Shyia
14,Shyla
1,Shylah
1,Shy-lee
1,Shylo
1,Shylyn
1,Shynae
1,Shynoor
1,Shytan
1,Shyvonne
2,Sianna
2,Siara
1,Siarra
1,Sidnee
10,Sidney
2,Sieanna
1,Siena
13,Sienna
1,Sienne
1,Siera
44,Sierra
1,Sierra
1,Sierrah
1,Sierra-Lynn
1,Sifa
1,Signe
1,Sihana
1,Silai
2,Silken
2,Silvia
1,Simarprit
1,Similan
1,Simona
6,Simone
9,Simran
1,Simrat
1,Sinéad
3,Siobhan
2,Siri
#,Girl  Names 
1,Sitara
1,Sivonn
1,Skarlette
3,Sky
1,Skyann
9,Skye
8,Skyla
1,Skylan
12,Skylar
1,Skylee
3,Skyler
1,Skylyne-Rae
3,Sloan
1,Smrithi
14,Sofia
1,Sofie
2,Solana
1,Soleil
1,Solena
1,Solomia
1,Solveig
1,Sommer
1,Somya
1,Sondra
2,Sonia
1,Sonika
1,Sonja
2,Sonya
1,Soona
45,Sophia
31,Sophie
1,Soulelle
3,Spencer
1,Srireerat
2,Stacey
1,Staci
2,Stacie
2,Star
3,Starla
1,Stefania
3,Stefanie
1,Stefanija
2,Stella
1,Stephani
42,Stephanie
2,Stéphanie
1,Stevie
1,Stine
1,Stormie
1,Suerry
1,Suha
1,Sukhjit
1,Sukhjot
1,Sukhlin
#,Girl  Names 
1,Sukhmani
1,Sukhmanjeet
1,Sukhpreet
1,Sumer
22,Summer
2,Summer-Lynn
1,Sumreet
1,Sunawer
1,Sundus
1,Sunni
1,Sunny
1,Supreet
1,Suraiya
1,Sureena
1,Sureya
10,Susan
1,Susana
1,Susane
9,Susanna
1,Susanne
5,Susie
1,Suz
1,Suzana
1,Suzanna
3,Suzanne
2,Suzi
1,Suzie
1,Svanni
1,Sya
1,Sydne
4,Sydnee
162,Sydney
3,Sydni
5,Sydnie
1,Syeda
1,Syenna
2,Sylvan
1,Sylver
3,Sylvia
1,Sylvie
2,Symphony
1,Szor
1,Tabareke
1,Tabatha
2,Tabea
6,Tabitha
1,Tacara
1,Taci
1,Tacy
2,Taegan
1,Taegen
1,Taeja
1,Taela
1,Taelin
#,Girl  Names 
1,Taelor-Reese
2,Taelyr
1,Tahira
2,Tahirah
3,Tahlia
1,Tahmea
1,Tai
1,Taia
2,Taiah
2,Taija
1,Taila
1,Tailer
1,Tailor
1,Tailyn
3,Tailynn
1,Tait
1,Taite
2,Taiya
1,Taiylor
1,Tajreen
1,Takara
1,Takeisha
1,Takeshia
1,Takira
1,Takirah
1,Takla
1,Takoah
1,Talani
2,Talayna
1,Talea
1,Taleisha
13,Talia
1,Taliah
1,Talisha
1,Taliyah
1,Talli
1,Tally
2,Talynn
1,Talysa
1,Talysha
21,Tamara
1,Tamarin
2,Tamera
1,Tameron
2,Tamia
3,Tamika
1,Tamira
4,Tammy
1,Tamra
1,Tamy
1,Tana
1,Tanaiya
1,Tanaya
1,Tanda
#,Girl  Names 
1,Taneale
1,Taneesha
2,Tanesha
1,Taneson
1,Tania
1,Taniel
1,Taniesha
1,Tanille
2,Tanis
10,Tanisha
1,Tanishia
1,Tanjila
1,Tanner
2,Tannis
1,Tanniss
1,Tanurit
3,Tanveer
1,Tanvir
2,Tanya
1,Tanya-Marie
1,Tanysha
1,Tanzanite
3,Tapanga
1,Taqdees
18,Tara
1,Tara-dawn
1,Taralee
2,Taralyn
1,Tara-Lyn
1,Taralynn
1,Taris
1,Tarleen
1,Tarran
27,Taryn
1,Taryne
1,Tarynne
1,Tasarina
3,Tasha
1,Tasheena
1,Tashia
1,Tashina
3,Tasia
1,Taslynn
15,Tatiana
3,Tatianna
1,Tatiyana
2,Tatjana
1,Tattiana
8,Tatum
3,Tatyana
1,Tatyanh
1,Tauren
1,Tauri
2,Tavia
#,Girl  Names 
1,Tawanna
11,Taya
4,Tayah
1,Taya-Lee
1,Tayce
1,Taydem
1,Taye-Lynn
2,Tayla
2,Taylee
1,Taylen
1,Taylene
7,Tayler
1,Taylex
1,Tayloir
189,Taylor
1,Taylor-Anne
1,Taylor-Jean
2,Taylor-Lee
1,Taylor-Rae
1,Taylyn
1,Tayte
1,Taytem
1,Taytlin
1,Tchokonte
4,Téa
19,Teagan
1,Teaganne
2,Teagen
4,Teaghan
2,Teah
1,Tealyn
2,Teanna
1,Teánna
1,Teddi
1,Teeba
1,Teela
8,Tegan
3,Teghan
1,Teghann
1,Teia
1,Teigan
1,Teigra-Dale
1,Teihannah
1,Teira
1,Teja
1,Tejdeep
1,Tejpreet
1,Tekoa
1,Teliah
1,Telia-Marie
1,Telise
1,Temira
1,Tempestt
1,Tena
#,Girl  Names 
1,Tenea
1,Teneille
1,Tenesha
1,Teneya
3,Tenille
1,Tenley
1,Tennessa
1,Tennessee
1,Tennille
1,Tensae-Sahle
1,Teonna
4,Teresa
1,Teresita
3,Teressa
1,Teri-Lynn
1,Terin
1,Terina
1,Terisa
2,Terra
1,Terren
1,Terri-Ann
1,Terrie
1,Terrilynn
1,Terri-Lynn
1,Terry
1,Teshi
1,Tesla
5,Tess
19,Tessa
1,Tessa-Nancy-Margaret
1,Tessay
1,Tesse
1,Tessica
1,Tessie
1,Teva
1,Tevis
1,Tezra
1,Thai
1,Thai-Lian
1,Thais
2,Thalia
1,Thanh
2,Thao
7,Thea
1,Thea-Rose
1,Thena
3,Theodora
4,Theresa
2,Therese
1,Thérèse
1,Therez
1,Thrissa
3,Thuy
1,Thuy-Vy-Erica
#,Girl  Names 
1,Thy-Han
14,Tia
1,Tiah
1,Tia-Lin
21,Tiana
1,Tiane
18,Tianna
1,Tianna-Lee
1,Tianna-Marie
1,Tiannedra
5,Tiara
1,Tichta
1,Tiegan
1,Tierney
4,Tierra
1,Tifani
1,Tiffani
13,Tiffany
11,Tina
2,Tinesha
1,Tini
1,Tinisha
1,Tionie
1,Tiony
1,Tiroj
1,Tirza
2,Tirzah
1,Tishauna
1,Tishawna
1,Tivianne
1,Tivona
1,TJ
1,T'Kira
1,Tomi-Lyn
1,Tommi
1,Tonette
1,Toni-Lynn
1,Tonniejah
1,Tony
1,Tonya
2,Tora
23,Tori
1,Toria
1,Torinia-Jo
2,Torrance
2,Torri
1,Torrince
1,Torsha
8,Tory
1,Torye
1,Tova
1,Tracey
1,Tracie
5,Tracy
#,Girl  Names 
1,Trae-lyn
1,Traiya
1,Trayann
1,Treasure
1,Treece
1,Tremaine
1,Tressa
1,Trevlyn
2,Tricia
1,Triena
1,Trina
1,Trinda
1,Trinidy
1,Trinitea
54,Trinity
1,Tris
2,Trish
1,Trishanna
1,Trishila
1,Trishna
1,Trissly
3,Trista
4,Tristan
6,Tristen
1,Tristian
1,Tristy-Ann
2,Tristyn
1,Truc
2,Trudy
1,Truong
1,Trynaty
1,Tryphena
1,Tuari
1,Tuesday
1,Tünde
1,Tuvleen
3,Twyla
1,Tyairra
2,Tyanna
1,Tyelin
1,Tyesha
1,Tykayah
3,Tyla
2,Tylee
1,TyLee
1,Tylene
7,Tyler
1,Tyler-Jade
1,Tyler-Marie
1,Tylin
1,Tynika
1,Tynin
1,Tynon
12,Tyra
#,Girl  Names 
1,Tyra-Jean
2,Tyree
1,Tyresha
1,Tyya
1,Tzxumara
1,Ulpijana
1,Uma
1,Vada
1,Valarie
2,Valentina
3,Valerie
1,Vallas
39,Vanessa
1,Vanessa-Marie
1,Vania
1,Vanja
1,Veanna
1,Veena
1,Vena
2,Venessa
1,Venture
1,Veranne
9,Veronica
2,Veronika
1,Veronique
1,Véronique
1,Vicki
4,Vicky
76,Victoria
1,Victotia
1,Vidalia
4,Vienna
1,Vila
1,Vinasa
1,Viola
2,Violet
1,Violetta
1,Violette
7,Virginia
1,Vita
1,Vittoria
7,Vivian
1,Vivianna
1,Vivianne
1,Vivica
1,Vivien
1,Vy
1,Wafa
1,Wahnita
1,Wasila
3,Wendy
1,Whisper
8,Whitney
1,Whytni
#,Girl  Names 
1,Wilene
10,Willow
1,Wing-Yee
1,Winnie
1,Winnifred
1,Winsome
1,Winter
1,Wionna
1,Wren
1,Wrenna
1,Wyanne
3,Wynter
1,Wynterrose
1,Xannah
1,Xena
1,Xilena
1,Xoli-Kahn
1,Y
1,Yaisha
1,Yashika
1,Yasmain
1,Yasmean
5,Yasmeen
5,Yasmin
1,Yasmina
3,Yasmine
1,Yeanor
1,Yehudis
1,Ye-Jean
1,Yen
1,Yeong
1,Yesenia
1,Y-Feven
1,Yi
1,Yoanna
1,Yodit
1,Yohana
1,Yolanda
1,Yolonda
1,Young
1,Yousra
1,Ysabel
1,Ysabelle
1,Ytsje-Anna
1,Yueh
1,Yukta
1,Yulia
1,Yumai
1,Yun-Jin
1,Yusra
2,Yvette
4,Yvonne
1,Yzabelle
1,Zabrina
#,Girl  Names 
1,Zabu-E-Gull
1,Zacharias
1,Zafina
1,Zahra
1,Zahraa
1,Zahrah
3,Zainab
1,Zainab-Marie
1,Zainanb
1,Zaineb
1,Zakylie
1,Zandra
1,Zandria-Lynn
1,Zanib
1,Zara
1,Zareen
1,Zariah
1,Zasha
1,Zauahna
1,Zayin
1,Zea
1,Zeher
2,Zeinab
1,Zella
1,Zenashé
1,Zerina
1,Zhanna
1,Zia
1,Ziah
1,Zina
1,Ziya
40,Zoe
2,Zoé
7,Zoë
1,Zoee
7,Zoey
2,Zohra
1,Zoie
1,Zoryanna
2,Zoya
1,Zubida
1,Zyan
